Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
703¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":129,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Program
808¿Identifier¿¿1227¿match¿¿¿{"start":{"line":30,"column":19},"end":{"line":30,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
809¿Literal¿object¿1227¿¿/true/¿¿{"start":{"line":30,"column":25},"end":{"line":30,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Literal
810¿IfStatement¿¿1227¿¿¿¿{"start":{"line":30,"column":6},"end":{"line":34,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿IfStatement
811¿Identifier¿¿1227¿v56¿¿¿¿¿Identifier
812¿ExpressionStatement¿¿1227¿¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿ExpressionStatement
813¿AssignmentExpression¿=¿1227¿¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿AssignmentExpression
814¿MemberExpression¿¿1227¿¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿MemberExpression
815¿Identifier¿¿1227¿output¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
816¿Identifier¿¿1227¿success¿¿¿{"start":{"line":31,"column":15},"end":{"line":31,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
817¿Literal¿boolean¿1227¿¿true¿¿{"start":{"line":31,"column":25},"end":{"line":31,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Literal
818¿BlockStatement¿¿1227¿¿¿¿{"start":{"line":30,"column":34},"end":{"line":32,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿BlockStatement
819¿ExpressionStatement¿¿1227¿¿¿¿{"start":{"line":33,"column":8},"end":{"line":33,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿ExpressionStatement
820¿AssignmentExpression¿=¿1227¿¿¿¿{"start":{"line":33,"column":8},"end":{"line":33,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿AssignmentExpression
821¿MemberExpression¿¿1227¿¿¿¿{"start":{"line":33,"column":8},"end":{"line":33,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿MemberExpression
822¿Identifier¿¿1227¿output¿¿¿{"start":{"line":33,"column":8},"end":{"line":33,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
823¿Identifier¿¿1227¿error¿¿¿{"start":{"line":33,"column":15},"end":{"line":33,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
824¿Identifier¿¿1227¿shellOut¿¿¿{"start":{"line":33,"column":23},"end":{"line":33,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
825¿BlockStatement¿¿1227¿¿¿¿{"start":{"line":32,"column":13},"end":{"line":34,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿BlockStatement
826¿BlockStatement¿¿1227¿¿¿¿{"start":{"line":29,"column":18},"end":{"line":35,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿BlockStatement
827¿ExpressionStatement¿¿1227¿¿¿¿{"start":{"line":36,"column":8},"end":{"line":36,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿ExpressionStatement
828¿AssignmentExpression¿=¿1227¿¿¿¿{"start":{"line":36,"column":8},"end":{"line":36,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿AssignmentExpression
829¿MemberExpression¿¿1227¿¿¿¿{"start":{"line":36,"column":8},"end":{"line":36,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿MemberExpression
830¿Identifier¿¿1227¿output¿¿¿{"start":{"line":36,"column":8},"end":{"line":36,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
831¿Identifier¿¿1227¿error¿¿¿{"start":{"line":36,"column":15},"end":{"line":36,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
832¿Literal¿string¿1227¿¿'No output from connection test'¿¿{"start":{"line":36,"column":23},"end":{"line":36,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Literal
833¿BlockStatement¿¿1227¿¿¿¿{"start":{"line":35,"column":11},"end":{"line":37,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿BlockStatement
834¿ReturnStatement¿¿1227¿¿¿¿{"start":{"line":38,"column":4},"end":{"line":38,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿ReturnStatement
835¿Identifier¿¿1227¿output¿¿¿{"start":{"line":38,"column":11},"end":{"line":38,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
836¿BlockStatement¿¿1227¿¿¿¿{"start":{"line":17,"column":46},"end":{"line":39,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿BlockStatement
837¿VariableDeclarator¿¿1223¿testAsync¿¿¿{"start":{"line":41,"column":0},"end":{"line":72,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
838¿FunctionExpression¿¿1223¿anon¿¿¿{"start":{"line":41,"column":0},"end":{"line":72,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿FunctionExpression
839¿Identifier¿¿0¿host¿¿¿{"start":{"line":41,"column":19},"end":{"line":41,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
840¿Identifier¿¿0¿port¿¿¿{"start":{"line":41,"column":25},"end":{"line":41,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
841¿Identifier¿¿0¿connectTimeout¿¿¿{"start":{"line":41,"column":31},"end":{"line":41,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
842¿Identifier¿¿0¿callback¿¿¿{"start":{"line":41,"column":47},"end":{"line":41,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
843¿VariableDeclarator¿¿1231¿socket¿¿¿{"start":{"line":42,"column":10},"end":{"line":42,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
844¿NewExpression¿¿1231¿¿¿¿{"start":{"line":42,"column":19},"end":{"line":42,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿NewExpression
845¿MemberExpression¿¿1231¿¿¿¿{"start":{"line":42,"column":23},"end":{"line":42,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿MemberExpression
846¿Identifier¿¿1231¿net¿¿¿{"start":{"line":42,"column":23},"end":{"line":42,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
847¿Identifier¿¿1231¿Socket¿¿¿{"start":{"line":42,"column":27},"end":{"line":42,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
848¿VariableDeclarator¿¿1231¿output¿¿¿{"start":{"line":44,"column":10},"end":{"line":47,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
849¿ObjectExpression¿¿1231¿¿¿¿¿¿ObjectExpression
850¿ExpressionStatement¿¿1231¿¿¿¿{"start":{"line":44,"column":10},"end":{"line":47,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿ExpressionStatement
851¿AssignmentExpression¿=¿1231¿¿¿¿{"start":{"line":44,"column":10},"end":{"line":47,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿AssignmentExpression
852¿MemberExpression¿¿1231¿¿¿¿{"start":{"line":44,"column":10},"end":{"line":47,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿MemberExpression
853¿Identifier¿¿1231¿output¿¿¿{"start":{"line":44,"column":10},"end":{"line":44,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
854¿Identifier¿¿1231¿success¿¿¿{"start":{"line":45,"column":8},"end":{"line":45,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
855¿Literal¿boolean¿1231¿¿false¿¿{"start":{"line":45,"column":17},"end":{"line":45,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Literal
856¿ExpressionStatement¿¿1231¿¿¿¿{"start":{"line":44,"column":10},"end":{"line":47,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿ExpressionStatement
857¿AssignmentExpression¿=¿1231¿¿¿¿{"start":{"line":44,"column":10},"end":{"line":47,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿AssignmentExpression
858¿MemberExpression¿¿1231¿¿¿¿{"start":{"line":44,"column":10},"end":{"line":47,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿MemberExpression
859¿Identifier¿¿1231¿output¿¿¿{"start":{"line":44,"column":10},"end":{"line":44,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
860¿Identifier¿¿1231¿error¿¿¿{"start":{"line":46,"column":8},"end":{"line":46,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
861¿Literal¿object¿1231¿¿null¿¿{"start":{"line":46,"column":15},"end":{"line":46,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Literal
862¿VariableDeclarator¿¿1231¿v57¿¿¿{"start":{"line":49,"column":4},"end":{"line":49,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
863¿CallExpression¿¿1231¿¿¿¿{"start":{"line":49,"column":4},"end":{"line":49,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿CallExpression
864¿MemberExpression¿¿1231¿¿¿¿{"start":{"line":49,"column":4},"end":{"line":49,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿MemberExpression
865¿Identifier¿¿1231¿socket¿¿¿{"start":{"line":49,"column":4},"end":{"line":49,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
866¿Identifier¿¿1231¿connect¿¿¿{"start":{"line":49,"column":11},"end":{"line":49,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
867¿Identifier¿¿1231¿port¿¿¿{"start":{"line":49,"column":19},"end":{"line":49,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
868¿Identifier¿¿1231¿host¿¿¿{"start":{"line":49,"column":25},"end":{"line":49,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
869¿ExpressionStatement¿¿1231¿¿¿¿{"start":{"line":49,"column":4},"end":{"line":49,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿ExpressionStatement
870¿Identifier¿¿1231¿v57¿¿¿¿¿Identifier
871¿VariableDeclarator¿¿1231¿v58¿¿¿{"start":{"line":50,"column":4},"end":{"line":50,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
872¿CallExpression¿¿1231¿¿¿¿{"start":{"line":50,"column":4},"end":{"line":50,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿CallExpression
873¿MemberExpression¿¿1231¿¿¿¿{"start":{"line":50,"column":4},"end":{"line":50,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿MemberExpression
874¿Identifier¿¿1231¿socket¿¿¿{"start":{"line":50,"column":4},"end":{"line":50,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
875¿Identifier¿¿1231¿setTimeout¿¿¿{"start":{"line":50,"column":11},"end":{"line":50,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
876¿Identifier¿¿1231¿connectTimeout¿¿¿{"start":{"line":50,"column":22},"end":{"line":50,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
877¿ExpressionStatement¿¿1231¿¿¿¿{"start":{"line":50,"column":4},"end":{"line":50,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿ExpressionStatement
878¿Identifier¿¿1231¿v58¿¿¿¿¿Identifier
879¿VariableDeclarator¿¿1231¿v61¿¿¿{"start":{"line":53,"column":25},"end":{"line":57,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
880¿FunctionExpression¿¿1231¿anon¿¿¿{"start":{"line":53,"column":25},"end":{"line":57,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿FunctionExpression
881¿VariableDeclarator¿¿1233¿v59¿¿¿{"start":{"line":54,"column":8},"end":{"line":54,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
882¿CallExpression¿¿1233¿¿¿¿{"start":{"line":54,"column":8},"end":{"line":54,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿CallExpression
883¿MemberExpression¿¿1233¿¿¿¿{"start":{"line":54,"column":8},"end":{"line":54,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿MemberExpression
884¿Identifier¿¿1233¿socket¿¿¿{"start":{"line":54,"column":8},"end":{"line":54,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
885¿Identifier¿¿1233¿destroy¿¿¿{"start":{"line":54,"column":15},"end":{"line":54,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
886¿ExpressionStatement¿¿1233¿¿¿¿{"start":{"line":54,"column":8},"end":{"line":54,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿ExpressionStatement
887¿Identifier¿¿1233¿v59¿¿¿¿¿Identifier
888¿ExpressionStatement¿¿1233¿¿¿¿{"start":{"line":55,"column":8},"end":{"line":55,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿ExpressionStatement
889¿AssignmentExpression¿=¿1233¿¿¿¿{"start":{"line":55,"column":8},"end":{"line":55,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿AssignmentExpression
890¿MemberExpression¿¿1233¿¿¿¿{"start":{"line":55,"column":8},"end":{"line":55,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿MemberExpression
891¿Identifier¿¿1233¿output¿¿¿{"start":{"line":55,"column":8},"end":{"line":55,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
892¿Identifier¿¿1233¿success¿¿¿{"start":{"line":55,"column":15},"end":{"line":55,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
893¿Literal¿boolean¿1233¿¿true¿¿{"start":{"line":55,"column":25},"end":{"line":55,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Literal
894¿VariableDeclarator¿¿1233¿v60¿¿¿{"start":{"line":56,"column":15},"end":{"line":56,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
895¿CallExpression¿¿1233¿¿¿¿{"start":{"line":56,"column":15},"end":{"line":56,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿CallExpression
896¿Identifier¿¿1233¿callback¿¿¿{"start":{"line":56,"column":15},"end":{"line":56,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
897¿Literal¿object¿1233¿¿null¿¿{"start":{"line":56,"column":24},"end":{"line":56,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Literal
898¿Identifier¿¿1233¿output¿¿¿{"start":{"line":56,"column":30},"end":{"line":56,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
899¿ReturnStatement¿¿1233¿¿¿¿{"start":{"line":56,"column":8},"end":{"line":56,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿ReturnStatement
900¿Identifier¿¿1233¿v60¿¿¿¿¿Identifier
901¿BlockStatement¿¿1233¿¿¿¿{"start":{"line":53,"column":37},"end":{"line":57,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿BlockStatement
902¿VariableDeclarator¿¿1231¿v62¿¿¿{"start":{"line":53,"column":4},"end":{"line":57,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
903¿CallExpression¿¿1231¿¿¿¿{"start":{"line":53,"column":4},"end":{"line":57,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿CallExpression
904¿MemberExpression¿¿1231¿¿¿¿{"start":{"line":53,"column":4},"end":{"line":53,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿MemberExpression
905¿Identifier¿¿1231¿socket¿¿¿{"start":{"line":53,"column":4},"end":{"line":53,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
906¿Identifier¿¿1231¿on¿¿¿{"start":{"line":53,"column":11},"end":{"line":53,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
907¿Literal¿string¿1231¿¿'connect'¿¿{"start":{"line":53,"column":14},"end":{"line":53,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Literal
908¿Identifier¿¿1231¿v61¿¿¿¿¿Identifier
909¿ExpressionStatement¿¿1231¿¿¿¿{"start":{"line":53,"column":4},"end":{"line":57,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿ExpressionStatement
910¿Identifier¿¿1231¿v62¿¿¿¿¿Identifier
911¿VariableDeclarator¿¿1231¿v67¿¿¿{"start":{"line":60,"column":23},"end":{"line":64,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
912¿FunctionExpression¿¿1231¿anon¿¿¿{"start":{"line":60,"column":23},"end":{"line":64,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿FunctionExpression
913¿Identifier¿¿0¿err¿¿¿{"start":{"line":60,"column":33},"end":{"line":60,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
914¿VariableDeclarator¿¿1235¿v63¿¿¿{"start":{"line":61,"column":8},"end":{"line":61,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
915¿CallExpression¿¿1235¿¿¿¿{"start":{"line":61,"column":8},"end":{"line":61,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿CallExpression
916¿MemberExpression¿¿1235¿¿¿¿{"start":{"line":61,"column":8},"end":{"line":61,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿MemberExpression
