Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
843¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":195,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Program
967¿ExpressionStatement¿¿1464¿¿¿¿{"start":{"line":47,"column":2},"end":{"line":47,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿ExpressionStatement
968¿Identifier¿¿1464¿v66¿¿¿¿¿Identifier
969¿BlockStatement¿¿1464¿¿¿¿{"start":{"line":24,"column":55},"end":{"line":48,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿BlockStatement
970¿VariableDeclarator¿exported¿1462¿composeCommand¿¿¿{"start":{"line":58,"column":0},"end":{"line":60,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
971¿FunctionExpression¿¿1462¿anon¿¿¿{"start":{"line":58,"column":0},"end":{"line":60,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿FunctionExpression
972¿Identifier¿¿0¿command¿¿¿{"start":{"line":58,"column":24},"end":{"line":58,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
973¿AssignmentPattern¿¿0¿¿¿¿{"start":{"line":58,"column":33},"end":{"line":58,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿AssignmentPattern
974¿VariableDeclarator¿¿1468¿v67¿¿¿{"start":{"line":59,"column":22},"end":{"line":59,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
975¿MemberExpression¿¿1468¿¿¿¿{"start":{"line":59,"column":22},"end":{"line":59,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿MemberExpression
976¿Identifier¿¿1468¿environment¿¿¿{"start":{"line":59,"column":22},"end":{"line":59,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
977¿Identifier¿¿1468¿runDirectory¿¿¿{"start":{"line":59,"column":34},"end":{"line":59,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
978¿VariableDeclarator¿¿1468¿v68¿¿¿{"start":{"line":59,"column":9},"end":{"line":59,"column":89},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
979¿CallExpression¿¿1468¿¿¿¿{"start":{"line":59,"column":9},"end":{"line":59,"column":89},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿CallExpression
980¿Identifier¿¿1468¿shellCommand¿¿¿{"start":{"line":59,"column":9},"end":{"line":59,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
981¿Identifier¿¿1468¿v67¿¿¿¿¿Identifier
982¿Literal¿string¿1468¿¿'docker-compose'¿¿{"start":{"line":59,"column":48},"end":{"line":59,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
983¿Identifier¿¿1468¿command¿¿¿{"start":{"line":59,"column":66},"end":{"line":59,"column":73},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
984¿Identifier¿¿1468¿captureOutput¿¿¿{"start":{"line":59,"column":75},"end":{"line":59,"column":88},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
985¿ReturnStatement¿¿1468¿¿¿¿{"start":{"line":59,"column":2},"end":{"line":59,"column":90},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿ReturnStatement
986¿Identifier¿¿1468¿v68¿¿¿¿¿Identifier
987¿BlockStatement¿¿1468¿¿¿¿{"start":{"line":58,"column":56},"end":{"line":60,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿BlockStatement
988¿VariableDeclarator¿exported¿1462¿mysqlCommand¿¿¿{"start":{"line":68,"column":0},"end":{"line":83,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
989¿FunctionExpression¿¿1462¿anon¿¿¿{"start":{"line":68,"column":0},"end":{"line":83,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿FunctionExpression
990¿Identifier¿¿0¿sql¿¿¿{"start":{"line":68,"column":22},"end":{"line":68,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
991¿AssignmentPattern¿¿0¿¿¿¿{"start":{"line":68,"column":27},"end":{"line":68,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿AssignmentPattern
992¿VariableDeclarator¿¿1470¿v69¿¿¿{"start":{"line":69,"column":24},"end":{"line":69,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
993¿MemberExpression¿¿1470¿¿¿¿{"start":{"line":69,"column":24},"end":{"line":69,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿MemberExpression
994¿Identifier¿¿1470¿environment¿¿¿{"start":{"line":69,"column":24},"end":{"line":69,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
995¿Identifier¿¿1470¿currentSiteName¿¿¿{"start":{"line":69,"column":36},"end":{"line":69,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
996¿VariableDeclarator¿¿1470¿v70¿¿¿{"start":{"line":69,"column":6},"end":{"line":69,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
997¿LogicalExpression¿&&¿1470¿¿¿¿{"start":{"line":69,"column":6},"end":{"line":69,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿LogicalExpression
998¿Identifier¿¿1470¿selectDatabase¿¿¿{"start":{"line":69,"column":6},"end":{"line":69,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
999¿Identifier¿¿1470¿v69¿¿¿¿¿Identifier
1000¿IfStatement¿¿1470¿¿¿¿{"start":{"line":69,"column":2},"end":{"line":71,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿IfStatement
1001¿Identifier¿¿1470¿v70¿¿¿¿¿Identifier
1002¿VariableDeclarator¿¿1470¿v71¿¿¿{"start":{"line":70,"column":20},"end":{"line":70,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
1003¿MemberExpression¿¿1470¿¿¿¿{"start":{"line":70,"column":20},"end":{"line":70,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿MemberExpression
1004¿Identifier¿¿1470¿environment¿¿¿{"start":{"line":70,"column":20},"end":{"line":70,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
1005¿Identifier¿¿1470¿currentSiteName¿¿¿{"start":{"line":70,"column":32},"end":{"line":70,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
1006¿VariableDeclarator¿¿1470¿v72¿¿¿{"start":{"line":70,"column":10},"end":{"line":70,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
1007¿BinaryExpression¿+¿1470¿¿¿¿{"start":{"line":70,"column":10},"end":{"line":70,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿BinaryExpression
1008¿Literal¿string¿1470¿¿'USE ''¿¿{"start":{"line":70,"column":10},"end":{"line":70,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
1009¿Identifier¿¿1470¿v71¿¿¿¿¿Identifier
1010¿VariableDeclarator¿¿1470¿v73¿¿¿{"start":{"line":70,"column":10},"end":{"line":70,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
1011¿BinaryExpression¿+¿1470¿¿¿¿{"start":{"line":70,"column":10},"end":{"line":70,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿BinaryExpression
1012¿Identifier¿¿1470¿v72¿¿¿¿¿Identifier
1013¿Literal¿string¿1470¿¿''; '¿¿{"start":{"line":70,"column":50},"end":{"line":70,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
1014¿ExpressionStatement¿¿1470¿¿¿¿{"start":{"line":70,"column":4},"end":{"line":70,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿ExpressionStatement
1015¿AssignmentExpression¿=¿1470¿¿¿¿{"start":{"line":70,"column":4},"end":{"line":70,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿AssignmentExpression
1016¿Identifier¿¿1470¿sql¿¿¿{"start":{"line":70,"column":4},"end":{"line":70,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
1017¿BinaryExpression¿+¿1470¿¿¿¿{"start":{"line":70,"column":10},"end":{"line":70,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿BinaryExpression
1018¿Identifier¿¿1470¿v73¿¿¿¿¿Identifier
1019¿Identifier¿¿1470¿sql¿¿¿{"start":{"line":70,"column":58},"end":{"line":70,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
1020¿BlockStatement¿¿1470¿¿¿¿{"start":{"line":69,"column":53},"end":{"line":71,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿BlockStatement
1021¿VariableDeclarator¿¿1470¿v74¿¿¿{"start":{"line":75,"column":4},"end":{"line":75,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
1022¿MemberExpression¿¿1470¿¿¿¿{"start":{"line":75,"column":4},"end":{"line":75,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿MemberExpression
1023¿Identifier¿¿1470¿config¿¿¿{"start":{"line":75,"column":4},"end":{"line":75,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
1024¿Identifier¿¿1470¿default_php_container¿¿¿{"start":{"line":75,"column":11},"end":{"line":75,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
1025¿VariableDeclarator¿¿1470¿v75¿¿¿{"start":{"line":73,"column":17},"end":{"line":82,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
1026¿ArrayExpression¿¿1470¿¿¿¿{"start":{"line":73,"column":17},"end":{"line":82,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿ArrayExpression
1027¿Literal¿string¿1470¿¿'exec'¿¿{"start":{"line":74,"column":4},"end":{"line":74,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
1028¿Identifier¿¿1470¿v74¿¿¿¿¿Identifier
1029¿Literal¿string¿1470¿¿'mysql'¿¿{"start":{"line":76,"column":4},"end":{"line":76,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
1030¿Literal¿string¿1470¿¿'--host=mysql'¿¿{"start":{"line":77,"column":4},"end":{"line":77,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
1031¿Literal¿string¿1470¿¿'--user=root'¿¿{"start":{"line":78,"column":4},"end":{"line":78,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
1032¿Literal¿string¿1470¿¿'--password=root'¿¿{"start":{"line":79,"column":4},"end":{"line":79,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
1033¿Literal¿string¿1470¿¿'-e'¿¿{"start":{"line":80,"column":4},"end":{"line":80,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
1034¿Identifier¿¿1470¿sql¿¿¿{"start":{"line":81,"column":4},"end":{"line":81,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
1035¿VariableDeclarator¿¿1470¿v76¿¿¿{"start":{"line":73,"column":2},"end":{"line":82,"column":4},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
1036¿CallExpression¿¿1470¿¿¿¿{"start":{"line":73,"column":2},"end":{"line":82,"column":4},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿CallExpression
1037¿Identifier¿¿1470¿composeCommand¿¿¿{"start":{"line":73,"column":2},"end":{"line":73,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
1038¿Identifier¿¿1470¿v75¿¿¿¿¿Identifier
1039¿ExpressionStatement¿¿1470¿¿¿¿{"start":{"line":73,"column":2},"end":{"line":82,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿ExpressionStatement
1040¿Identifier¿¿1470¿v76¿¿¿¿¿Identifier
1041¿BlockStatement¿¿1470¿¿¿¿{"start":{"line":68,"column":51},"end":{"line":83,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿BlockStatement
1042¿VariableDeclarator¿exported¿1462¿regenerateHTTPSCertificate¿¿¿{"start":{"line":90,"column":0},"end":{"line":127,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
1043¿FunctionExpression¿¿1462¿anon¿¿¿{"start":{"line":90,"column":0},"end":{"line":127,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿FunctionExpression
1044¿AssignmentPattern¿¿0¿¿¿¿{"start":{"line":90,"column":36},"end":{"line":90,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿AssignmentPattern
1045¿VariableDeclarator¿¿1473¿v77¿¿¿{"start":{"line":91,"column":15},"end":{"line":91,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
1046¿MemberExpression¿¿1473¿¿¿¿{"start":{"line":91,"column":15},"end":{"line":91,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿MemberExpression
1047¿Identifier¿¿1473¿environment¿¿¿{"start":{"line":91,"column":15},"end":{"line":91,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
1048¿Identifier¿¿1473¿appHomeDirectory¿¿¿{"start":{"line":91,"column":27},"end":{"line":91,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
1049¿VariableDeclarator¿¿1473¿v78¿¿¿{"start":{"line":91,"column":53},"end":{"line":96,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
1050¿ArrayExpression¿¿1473¿¿¿¿{"start":{"line":91,"column":53},"end":{"line":96,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿ArrayExpression
1051¿Literal¿string¿1473¿¿'security'¿¿{"start":{"line":92,"column":4},"end":{"line":92,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
1052¿Literal¿string¿1473¿¿'delete-certificate'¿¿{"start":{"line":93,"column":4},"end":{"line":93,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
1053¿Literal¿string¿1473¿¿'-c'¿¿{"start":{"line":94,"column":4},"end":{"line":94,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
1054¿Literal¿string¿1473¿¿'pilothouse.dev'¿¿{"start":{"line":94,"column":10},"end":{"line":94,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
1055¿Literal¿string¿1473¿¿'/Library/Keychains/System.keychain'¿¿{"start":{"line":95,"column":4},"end":{"line":95,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
1056¿VariableDeclarator¿¿1473¿v79¿¿¿{"start":{"line":91,"column":2},"end":{"line":96,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
1057¿CallExpression¿¿1473¿¿¿¿{"start":{"line":91,"column":2},"end":{"line":96,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿CallExpression
1058¿Identifier¿¿1473¿shellCommand¿¿¿{"start":{"line":91,"column":2},"end":{"line":91,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
1059¿Identifier¿¿1473¿v77¿¿¿¿¿Identifier
1060¿Literal¿string¿1473¿¿'sudo'¿¿{"start":{"line":91,"column":45},"end":{"line":91,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
1061¿Identifier¿¿1473¿v78¿¿¿¿¿Identifier
1062¿Literal¿boolean¿1473¿¿true¿¿{"start":{"line":96,"column":5},"end":{"line":96,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
1063¿ExpressionStatement¿¿1473¿¿¿¿{"start":{"line":91,"column":2},"end":{"line":96,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿ExpressionStatement
1064¿Identifier¿¿1473¿v79¿¿¿¿¿Identifier
1065¿VariableDeclarator¿¿1473¿v80¿¿¿{"start":{"line":98,"column":2},"end":{"line":98,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
1066¿CallExpression¿¿1473¿¿¿¿{"start":{"line":98,"column":2},"end":{"line":98,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿CallExpression
1067¿MemberExpression¿¿1473¿¿¿¿{"start":{"line":98,"column":2},"end":{"line":98,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿MemberExpression
1068¿Identifier¿¿1473¿hosts¿¿¿{"start":{"line":98,"column":2},"end":{"line":98,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
1069¿Identifier¿¿1473¿unshift¿¿¿{"start":{"line":98,"column":8},"end":{"line":98,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
1070¿Literal¿string¿1473¿¿'localhost'¿¿{"start":{"line":98,"column":16},"end":{"line":98,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
1071¿ExpressionStatement¿¿1473¿¿¿¿{"start":{"line":98,"column":2},"end":{"line":98,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿ExpressionStatement
1072¿Identifier¿¿1473¿v80¿¿¿¿¿Identifier
1073¿VariableDeclarator¿¿1473¿v82¿¿¿{"start":{"line":100,"column":29},"end":{"line":100,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
1074¿ArrowFunctionExpression¿¿1473¿¿¿¿{"start":{"line":100,"column":29},"end":{"line":100,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿ArrowFunctionExpression
1075¿Identifier¿¿0¿host¿¿¿{"start":{"line":100,"column":30},"end":{"line":100,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
1076¿VariableDeclarator¿¿1475¿v81¿¿¿{"start":{"line":100,"column":40},"end":{"line":100,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
1077¿ObjectExpression¿¿1475¿¿¿¿¿¿ObjectExpression
1078¿ExpressionStatement¿¿1475¿¿¿¿{"start":{"line":100,"column":40},"end":{"line":100,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿ExpressionStatement
1079¿AssignmentExpression¿=¿1475¿¿¿¿{"start":{"line":100,"column":40},"end":{"line":100,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿AssignmentExpression
1080¿MemberExpression¿¿1475¿¿¿¿{"start":{"line":100,"column":40},"end":{"line":100,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿MemberExpression
1081¿Identifier¿¿1475¿v81¿¿¿¿¿Identifier
1082¿Identifier¿¿1475¿type¿¿¿{"start":{"line":100,"column":42},"end":{"line":100,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
1083¿Literal¿number¿1475¿¿2¿¿{"start":{"line":100,"column":48},"end":{"line":100,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
1084¿ExpressionStatement¿¿1475¿¿¿¿{"start":{"line":100,"column":40},"end":{"line":100,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿ExpressionStatement
1085¿AssignmentExpression¿=¿1475¿¿¿¿{"start":{"line":100,"column":40},"end":{"line":100,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿AssignmentExpression
1086¿MemberExpression¿¿1475¿¿¿¿{"start":{"line":100,"column":40},"end":{"line":100,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿MemberExpression
1087¿Identifier¿¿1475¿v81¿¿¿¿¿Identifier
1088¿Identifier¿¿1475¿value¿¿¿{"start":{"line":100,"column":51},"end":{"line":100,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
1089¿Identifier¿¿1475¿host¿¿¿{"start":{"line":100,"column":58},"end":{"line":100,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
1090¿ReturnStatement¿¿1475¿¿¿¿¿¿ReturnStatement
1091¿Identifier¿¿1475¿v81¿¿¿¿¿Identifier
1092¿BlockStatement¿¿1475¿¿¿¿¿¿BlockStatement
1093¿VariableDeclarator¿¿1473¿altNames¿¿¿{"start":{"line":100,"column":8},"end":{"line":100,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
1094¿CallExpression¿¿1473¿¿¿¿{"start":{"line":100,"column":19},"end":{"line":100,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿CallExpression
1095¿MemberExpression¿¿1473¿¿¿¿{"start":{"line":100,"column":19},"end":{"line":100,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿MemberExpression
1096¿Identifier¿¿1473¿hosts¿¿¿{"start":{"line":100,"column":19},"end":{"line":100,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
