Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
810¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":107,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Program
927¿Identifier¿¿0¿response¿¿¿{"start":{"line":24,"column":36},"end":{"line":24,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
928¿VariableDeclarator¿¿1413¿v98¿¿¿{"start":{"line":25,"column":25},"end":{"line":25,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
929¿MemberExpression¿¿1413¿¿¿¿{"start":{"line":25,"column":25},"end":{"line":25,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿MemberExpression
930¿Identifier¿¿1413¿request¿¿¿{"start":{"line":25,"column":25},"end":{"line":25,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
931¿Identifier¿¿1413¿query¿¿¿{"start":{"line":25,"column":33},"end":{"line":25,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
932¿VariableDeclarator¿¿1413¿redirect_url¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
933¿MemberExpression¿computed¿1413¿¿¿¿{"start":{"line":25,"column":25},"end":{"line":25,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿MemberExpression
934¿Identifier¿¿1413¿v98¿¿¿¿¿Identifier
935¿Literal¿string¿1413¿¿'dest'¿¿{"start":{"line":25,"column":39},"end":{"line":25,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
936¿VariableDeclarator¿¿1413¿v99¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
937¿CallExpression¿¿1413¿¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿CallExpression
938¿MemberExpression¿¿1413¿¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿MemberExpression
939¿Identifier¿¿1413¿response¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
940¿Identifier¿¿1413¿redirect¿¿¿{"start":{"line":26,"column":13},"end":{"line":26,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
941¿Identifier¿¿1413¿redirect_url¿¿¿{"start":{"line":26,"column":22},"end":{"line":26,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
942¿ExpressionStatement¿¿1413¿¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿ExpressionStatement
943¿Identifier¿¿1413¿v99¿¿¿¿¿Identifier
944¿BlockStatement¿¿1413¿¿¿¿{"start":{"line":24,"column":49},"end":{"line":27,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿BlockStatement
945¿VariableDeclarator¿¿1409¿v101¿¿¿{"start":{"line":24,"column":0},"end":{"line":27,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
946¿CallExpression¿¿1409¿¿¿¿{"start":{"line":24,"column":0},"end":{"line":27,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿CallExpression
947¿MemberExpression¿¿1409¿¿¿¿{"start":{"line":24,"column":0},"end":{"line":24,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿MemberExpression
948¿Identifier¿¿1409¿app¿¿¿{"start":{"line":24,"column":0},"end":{"line":24,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
949¿Identifier¿¿1409¿get¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
950¿Literal¿string¿1409¿¿'/open_redirect'¿¿{"start":{"line":24,"column":8},"end":{"line":24,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
951¿Identifier¿¿1409¿v100¿¿¿¿¿Identifier
952¿ExpressionStatement¿¿1409¿¿¿¿{"start":{"line":24,"column":0},"end":{"line":27,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿ExpressionStatement
953¿Identifier¿¿1409¿v101¿¿¿¿¿Identifier
954¿VariableDeclarator¿¿1409¿v106¿¿¿{"start":{"line":29,"column":33},"end":{"line":34,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
955¿ArrowFunctionExpression¿¿1409¿¿¿¿{"start":{"line":29,"column":33},"end":{"line":34,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿ArrowFunctionExpression
956¿Identifier¿¿0¿request¿¿¿{"start":{"line":29,"column":34},"end":{"line":29,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
957¿Identifier¿¿0¿response¿¿¿{"start":{"line":29,"column":43},"end":{"line":29,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
958¿VariableDeclarator¿¿1415¿v102¿¿¿{"start":{"line":30,"column":21},"end":{"line":30,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
959¿MemberExpression¿¿1415¿¿¿¿{"start":{"line":30,"column":21},"end":{"line":30,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿MemberExpression
960¿Identifier¿¿1415¿request¿¿¿{"start":{"line":30,"column":21},"end":{"line":30,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
961¿Identifier¿¿1415¿query¿¿¿{"start":{"line":30,"column":29},"end":{"line":30,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
962¿VariableDeclarator¿¿1415¿filename¿¿¿{"start":{"line":30,"column":10},"end":{"line":30,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
963¿MemberExpression¿computed¿1415¿¿¿¿{"start":{"line":30,"column":21},"end":{"line":30,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿MemberExpression
964¿Identifier¿¿1415¿v102¿¿¿¿¿Identifier
965¿Literal¿string¿1415¿¿'page'¿¿{"start":{"line":30,"column":35},"end":{"line":30,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
966¿VariableDeclarator¿¿1415¿v103¿¿¿{"start":{"line":32,"column":4},"end":{"line":32,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
967¿CallExpression¿¿1415¿¿¿¿{"start":{"line":32,"column":4},"end":{"line":32,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿CallExpression
968¿MemberExpression¿¿1415¿¿¿¿{"start":{"line":32,"column":4},"end":{"line":32,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿MemberExpression
969¿Identifier¿¿1415¿response¿¿¿{"start":{"line":32,"column":4},"end":{"line":32,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
970¿Identifier¿¿1415¿setHeader¿¿¿{"start":{"line":32,"column":13},"end":{"line":32,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
971¿Literal¿string¿1415¿¿'Content-Type'¿¿{"start":{"line":32,"column":23},"end":{"line":32,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
972¿Literal¿string¿1415¿¿'text/html'¿¿{"start":{"line":32,"column":39},"end":{"line":32,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
973¿ExpressionStatement¿¿1415¿¿¿¿{"start":{"line":32,"column":4},"end":{"line":32,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿ExpressionStatement
974¿Identifier¿¿1415¿v103¿¿¿¿¿Identifier
975¿VariableDeclarator¿¿1415¿v104¿¿¿{"start":{"line":33,"column":22},"end":{"line":33,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
976¿BinaryExpression¿+¿1415¿¿¿¿{"start":{"line":33,"column":22},"end":{"line":33,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿BinaryExpression
977¿Identifier¿¿1415¿__dirname¿¿¿{"start":{"line":33,"column":22},"end":{"line":33,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
978¿TemplateLiteral¿¿1415¿¿¿¿{"start":{"line":33,"column":34},"end":{"line":33,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿TemplateLiteral
979¿Identifier¿¿1415¿filename¿¿¿{"start":{"line":33,"column":38},"end":{"line":33,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
980¿VariableDeclarator¿¿1415¿v105¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
981¿CallExpression¿¿1415¿¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿CallExpression
982¿MemberExpression¿¿1415¿¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿MemberExpression
983¿Identifier¿¿1415¿response¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
984¿Identifier¿¿1415¿sendFile¿¿¿{"start":{"line":33,"column":13},"end":{"line":33,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
985¿Identifier¿¿1415¿v104¿¿¿¿¿Identifier
986¿ExpressionStatement¿¿1415¿¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿ExpressionStatement
987¿Identifier¿¿1415¿v105¿¿¿¿¿Identifier
988¿BlockStatement¿¿1415¿¿¿¿{"start":{"line":29,"column":56},"end":{"line":34,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿BlockStatement
989¿VariableDeclarator¿¿1409¿v107¿¿¿{"start":{"line":29,"column":0},"end":{"line":34,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
990¿CallExpression¿¿1409¿¿¿¿{"start":{"line":29,"column":0},"end":{"line":34,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿CallExpression
991¿MemberExpression¿¿1409¿¿¿¿{"start":{"line":29,"column":0},"end":{"line":29,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿MemberExpression
992¿Identifier¿¿1409¿app¿¿¿{"start":{"line":29,"column":0},"end":{"line":29,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
993¿Identifier¿¿1409¿get¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
994¿Literal¿string¿1409¿¿'/local_file_inclusion'¿¿{"start":{"line":29,"column":8},"end":{"line":29,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
995¿Identifier¿¿1409¿v106¿¿¿¿¿Identifier
996¿ExpressionStatement¿¿1409¿¿¿¿{"start":{"line":29,"column":0},"end":{"line":34,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿ExpressionStatement
997¿Identifier¿¿1409¿v107¿¿¿¿¿Identifier
998¿VariableDeclarator¿¿1409¿v126¿¿¿{"start":{"line":36,"column":32},"end":{"line":59,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
999¿ArrowFunctionExpression¿¿1409¿¿¿¿{"start":{"line":36,"column":32},"end":{"line":59,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿ArrowFunctionExpression
1000¿Identifier¿¿0¿request¿¿¿{"start":{"line":36,"column":33},"end":{"line":36,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
1001¿Identifier¿¿0¿response¿¿¿{"start":{"line":36,"column":42},"end":{"line":36,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
1002¿VariableDeclarator¿¿1417¿v108¿¿¿{"start":{"line":37,"column":21},"end":{"line":37,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
1003¿MemberExpression¿¿1417¿¿¿¿{"start":{"line":37,"column":21},"end":{"line":37,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿MemberExpression
1004¿Identifier¿¿1417¿request¿¿¿{"start":{"line":37,"column":21},"end":{"line":37,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
1005¿Identifier¿¿1417¿query¿¿¿{"start":{"line":37,"column":29},"end":{"line":37,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
1006¿VariableDeclarator¿¿1417¿filename¿¿¿{"start":{"line":37,"column":10},"end":{"line":37,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
1007¿MemberExpression¿computed¿1417¿¿¿¿{"start":{"line":37,"column":21},"end":{"line":37,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿MemberExpression
1008¿Identifier¿¿1417¿v108¿¿¿¿¿Identifier
1009¿Literal¿string¿1417¿¿'page'¿¿{"start":{"line":37,"column":35},"end":{"line":37,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
1010¿VariableDeclarator¿¿1417¿v109¿¿¿{"start":{"line":38,"column":22},"end":{"line":38,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
1011¿BinaryExpression¿+¿1417¿¿¿¿{"start":{"line":38,"column":22},"end":{"line":38,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿BinaryExpression
1012¿Identifier¿¿1417¿__dirname¿¿¿{"start":{"line":38,"column":22},"end":{"line":38,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
1013¿Literal¿string¿1417¿¿'/'¿¿{"start":{"line":38,"column":34},"end":{"line":38,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Literal
1014¿VariableDeclarator¿¿1417¿file_path¿¿¿{"start":{"line":38,"column":10},"end":{"line":38,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
1015¿BinaryExpression¿+¿1417¿¿¿¿{"start":{"line":38,"column":22},"end":{"line":38,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿BinaryExpression
1016¿Identifier¿¿1417¿v109¿¿¿¿¿Identifier
1017¿Identifier¿¿1417¿filename¿¿¿{"start":{"line":38,"column":40},"end":{"line":38,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
1018¿VariableDeclarator¿¿1417¿v110¿¿¿{"start":{"line":39,"column":16},"end":{"line":39,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
1019¿TemplateLiteral¿¿1417¿¿¿¿{"start":{"line":39,"column":16},"end":{"line":39,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿TemplateLiteral
1020¿Identifier¿¿1417¿filename¿¿¿{"start":{"line":39,"column":29},"end":{"line":39,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
1021¿VariableDeclarator¿¿1417¿v111¿¿¿{"start":{"line":39,"column":4},"end":{"line":39,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
1022¿CallExpression¿¿1417¿¿¿¿{"start":{"line":39,"column":4},"end":{"line":39,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿CallExpression
1023¿MemberExpression¿¿1417¿¿¿¿{"start":{"line":39,"column":4},"end":{"line":39,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿MemberExpression
1024¿Identifier¿¿1417¿console¿¿¿{"start":{"line":39,"column":4},"end":{"line":39,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
1025¿Identifier¿¿1417¿log¿¿¿{"start":{"line":39,"column":12},"end":{"line":39,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
1026¿Identifier¿¿1417¿v110¿¿¿¿¿Identifier
1027¿ExpressionStatement¿¿1417¿¿¿¿{"start":{"line":39,"column":4},"end":{"line":39,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿ExpressionStatement
1028¿Identifier¿¿1417¿v111¿¿¿¿¿Identifier
1029¿VariableDeclarator¿¿1417¿v112¿¿¿{"start":{"line":40,"column":16},"end":{"line":40,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
1030¿TemplateLiteral¿¿1417¿¿¿¿{"start":{"line":40,"column":16},"end":{"line":40,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿TemplateLiteral
1031¿Identifier¿¿1417¿file_path¿¿¿{"start":{"line":40,"column":30},"end":{"line":40,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
1032¿VariableDeclarator¿¿1417¿v113¿¿¿{"start":{"line":40,"column":4},"end":{"line":40,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
1033¿CallExpression¿¿1417¿¿¿¿{"start":{"line":40,"column":4},"end":{"line":40,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿CallExpression
1034¿MemberExpression¿¿1417¿¿¿¿{"start":{"line":40,"column":4},"end":{"line":40,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿MemberExpression
1035¿Identifier¿¿1417¿console¿¿¿{"start":{"line":40,"column":4},"end":{"line":40,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
1036¿Identifier¿¿1417¿log¿¿¿{"start":{"line":40,"column":12},"end":{"line":40,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
1037¿Identifier¿¿1417¿v112¿¿¿¿¿Identifier
1038¿ExpressionStatement¿¿1417¿¿¿¿{"start":{"line":40,"column":4},"end":{"line":40,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿ExpressionStatement
1039¿Identifier¿¿1417¿v113¿¿¿¿¿Identifier
1040¿VariableDeclarator¿¿1417¿v124¿¿¿{"start":{"line":41,"column":27},"end":{"line":58,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿VariableDeclarator
1041¿ArrowFunctionExpression¿¿1417¿¿¿¿{"start":{"line":41,"column":27},"end":{"line":58,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿ArrowFunctionExpression
1042¿Identifier¿¿0¿error¿¿¿{"start":{"line":41,"column":28},"end":{"line":41,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
1043¿Identifier¿¿0¿resolved_path¿¿¿{"start":{"line":41,"column":35},"end":{"line":41,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿Identifier
1044¿IfStatement¿¿1419¿¿¿¿{"start":{"line":42,"column":8},"end":{"line":45,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/LectureExamples_W2025/file_attacks.js"}¿¿IfStatement
