Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2221¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":254,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Program
2726¿VariableDeclarator¿¿3886¿v292¿¿¿{"start":{"line":79,"column":48},"end":{"line":79,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2727¿BinaryExpression¿-¿3886¿¿¿¿{"start":{"line":79,"column":48},"end":{"line":79,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿BinaryExpression
2728¿Identifier¿¿3886¿v291¿¿¿¿¿Identifier
2729¿Literal¿number¿3886¿¿1¿¿{"start":{"line":79,"column":60},"end":{"line":79,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2730¿VariableDeclarator¿¿3886¿v293¿¿¿{"start":{"line":79,"column":30},"end":{"line":79,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2731¿CallExpression¿¿3886¿¿¿¿{"start":{"line":79,"column":30},"end":{"line":79,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿CallExpression
2732¿MemberExpression¿¿3886¿¿¿¿{"start":{"line":79,"column":30},"end":{"line":79,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2733¿Identifier¿¿3886¿name¿¿¿{"start":{"line":79,"column":30},"end":{"line":79,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2734¿Identifier¿¿3886¿substring¿¿¿{"start":{"line":79,"column":35},"end":{"line":79,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2735¿Literal¿number¿3886¿¿1¿¿{"start":{"line":79,"column":45},"end":{"line":79,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2736¿Identifier¿¿3886¿v292¿¿¿¿¿Identifier
2737¿VariableDeclarator¿¿3886¿v294¿¿¿{"start":{"line":81,"column":46},"end":{"line":81,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2738¿MemberExpression¿¿3886¿¿¿¿{"start":{"line":81,"column":46},"end":{"line":81,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2739¿Identifier¿¿3886¿file¿¿¿{"start":{"line":81,"column":46},"end":{"line":81,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2740¿Identifier¿¿3886¿length¿¿¿{"start":{"line":81,"column":51},"end":{"line":81,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2741¿VariableDeclarator¿¿3886¿v295¿¿¿{"start":{"line":81,"column":46},"end":{"line":81,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2742¿BinaryExpression¿-¿3886¿¿¿¿{"start":{"line":81,"column":46},"end":{"line":81,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿BinaryExpression
2743¿Identifier¿¿3886¿v294¿¿¿¿¿Identifier
2744¿Literal¿number¿3886¿¿1¿¿{"start":{"line":81,"column":58},"end":{"line":81,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2745¿VariableDeclarator¿¿3886¿v296¿¿¿{"start":{"line":81,"column":28},"end":{"line":81,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2746¿CallExpression¿¿3886¿¿¿¿{"start":{"line":81,"column":28},"end":{"line":81,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿CallExpression
2747¿MemberExpression¿¿3886¿¿¿¿{"start":{"line":81,"column":28},"end":{"line":81,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2748¿Identifier¿¿3886¿file¿¿¿{"start":{"line":81,"column":28},"end":{"line":81,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2749¿Identifier¿¿3886¿substring¿¿¿{"start":{"line":81,"column":33},"end":{"line":81,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2750¿Literal¿number¿3886¿¿1¿¿{"start":{"line":81,"column":43},"end":{"line":81,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2751¿Identifier¿¿3886¿v295¿¿¿¿¿Identifier
2752¿VariableDeclarator¿¿3886¿v297¿¿¿{"start":{"line":80,"column":30},"end":{"line":81,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2753¿BinaryExpression¿+¿3886¿¿¿¿{"start":{"line":80,"column":30},"end":{"line":81,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿BinaryExpression
2754¿Identifier¿¿3886¿base¿¿¿{"start":{"line":80,"column":30},"end":{"line":80,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2755¿Identifier¿¿3886¿v296¿¿¿¿¿Identifier
2756¿VariableDeclarator¿¿3886¿v298¿¿¿{"start":{"line":78,"column":26},"end":{"line":82,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2757¿ObjectExpression¿¿3886¿¿¿¿¿¿ObjectExpression
2758¿ExpressionStatement¿¿3886¿¿¿¿{"start":{"line":78,"column":26},"end":{"line":82,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿ExpressionStatement
2759¿AssignmentExpression¿=¿3886¿¿¿¿{"start":{"line":78,"column":26},"end":{"line":82,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿AssignmentExpression
2760¿MemberExpression¿¿3886¿¿¿¿{"start":{"line":78,"column":26},"end":{"line":82,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2761¿Identifier¿¿3886¿v298¿¿¿¿¿Identifier
2762¿Identifier¿¿3886¿name¿¿¿{"start":{"line":79,"column":24},"end":{"line":79,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2763¿Identifier¿¿3886¿v293¿¿¿¿¿Identifier
2764¿ExpressionStatement¿¿3886¿¿¿¿{"start":{"line":78,"column":26},"end":{"line":82,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿ExpressionStatement
2765¿AssignmentExpression¿=¿3886¿¿¿¿{"start":{"line":78,"column":26},"end":{"line":82,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿AssignmentExpression
2766¿MemberExpression¿¿3886¿¿¿¿{"start":{"line":78,"column":26},"end":{"line":82,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2767¿Identifier¿¿3886¿v298¿¿¿¿¿Identifier
2768¿Identifier¿¿3886¿file¿¿¿{"start":{"line":80,"column":24},"end":{"line":80,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2769¿Identifier¿¿3886¿v297¿¿¿¿¿Identifier
2770¿ReturnStatement¿¿3886¿¿¿¿{"start":{"line":78,"column":20},"end":{"line":82,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿ReturnStatement
2771¿Identifier¿¿3886¿v298¿¿¿¿¿Identifier
2772¿BlockStatement¿¿3886¿¿¿¿{"start":{"line":75,"column":37},"end":{"line":83,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿BlockStatement
2773¿VariableDeclarator¿¿3882¿v300¿¿¿{"start":{"line":73,"column":30},"end":{"line":83,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2774¿CallExpression¿¿3882¿¿¿¿{"start":{"line":73,"column":30},"end":{"line":83,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿CallExpression
2775¿MemberExpression¿¿3882¿¿¿¿{"start":{"line":73,"column":30},"end":{"line":75,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2776¿Identifier¿¿3882¿v286¿¿¿¿¿Identifier
2777¿Identifier¿¿3882¿map¿¿¿{"start":{"line":75,"column":19},"end":{"line":75,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2778¿Identifier¿¿3882¿v299¿¿¿¿¿Identifier
2779¿VariableDeclarator¿¿3882¿v317¿¿¿{"start":{"line":83,"column":26},"end":{"line":87,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2780¿FunctionExpression¿¿3882¿anon¿¿¿{"start":{"line":83,"column":26},"end":{"line":87,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿FunctionExpression
2781¿Identifier¿¿0¿i¿¿¿{"start":{"line":83,"column":35},"end":{"line":83,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2782¿VariableDeclarator¿¿3888¿v301¿¿¿{"start":{"line":84,"column":36},"end":{"line":84,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2783¿ArrayExpression¿¿3888¿¿¿¿{"start":{"line":84,"column":36},"end":{"line":84,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿ArrayExpression
2784¿VariableDeclarator¿¿3888¿v302¿¿¿{"start":{"line":84,"column":28},"end":{"line":84,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2785¿LogicalExpression¿||¿3888¿¿¿¿{"start":{"line":84,"column":28},"end":{"line":84,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿LogicalExpression
2786¿Identifier¿¿3888¿omit¿¿¿{"start":{"line":84,"column":28},"end":{"line":84,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2787¿Identifier¿¿3888¿v301¿¿¿¿¿Identifier
2788¿VariableDeclarator¿¿3888¿v303¿¿¿{"start":{"line":84,"column":48},"end":{"line":84,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2789¿MemberExpression¿¿3888¿¿¿¿{"start":{"line":84,"column":48},"end":{"line":84,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2790¿Identifier¿¿3888¿i¿¿¿{"start":{"line":84,"column":48},"end":{"line":84,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2791¿Identifier¿¿3888¿name¿¿¿{"start":{"line":84,"column":50},"end":{"line":84,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2792¿VariableDeclarator¿¿3888¿v304¿¿¿{"start":{"line":84,"column":27},"end":{"line":84,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2793¿CallExpression¿¿3888¿¿¿¿{"start":{"line":84,"column":27},"end":{"line":84,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿CallExpression
2794¿MemberExpression¿¿3888¿¿¿¿{"start":{"line":84,"column":27},"end":{"line":84,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2795¿Identifier¿¿3888¿v302¿¿¿¿¿Identifier
2796¿Identifier¿¿3888¿indexOf¿¿¿{"start":{"line":84,"column":40},"end":{"line":84,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2797¿Identifier¿¿3888¿v303¿¿¿¿¿Identifier
2798¿VariableDeclarator¿¿3888¿v305¿¿¿{"start":{"line":84,"column":60},"end":{"line":84,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2799¿UnaryExpression¿-¿3888¿¿¿¿{"start":{"line":84,"column":60},"end":{"line":84,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿UnaryExpression
2800¿Literal¿number¿3888¿¿1¿¿{"start":{"line":84,"column":61},"end":{"line":84,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2801¿VariableDeclarator¿¿3888¿v306¿¿¿{"start":{"line":84,"column":27},"end":{"line":84,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2802¿BinaryExpression¿===¿3888¿¿¿¿{"start":{"line":84,"column":27},"end":{"line":84,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿BinaryExpression
2803¿Identifier¿¿3888¿v304¿¿¿¿¿Identifier
2804¿Identifier¿¿3888¿v305¿¿¿¿¿Identifier
2805¿VariableDeclarator¿¿3888¿v307¿¿¿{"start":{"line":85,"column":23},"end":{"line":85,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2806¿MemberExpression¿¿3888¿¿¿¿{"start":{"line":85,"column":23},"end":{"line":85,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2807¿Identifier¿¿3888¿i¿¿¿{"start":{"line":85,"column":23},"end":{"line":85,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2808¿Identifier¿¿3888¿name¿¿¿{"start":{"line":85,"column":25},"end":{"line":85,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2809¿VariableDeclarator¿¿3888¿v308¿¿¿{"start":{"line":85,"column":23},"end":{"line":85,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2810¿CallExpression¿¿3888¿¿¿¿{"start":{"line":85,"column":23},"end":{"line":85,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿CallExpression
2811¿MemberExpression¿¿3888¿¿¿¿{"start":{"line":85,"column":23},"end":{"line":85,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2812¿Identifier¿¿3888¿v307¿¿¿¿¿Identifier
2813¿Identifier¿¿3888¿indexOf¿¿¿{"start":{"line":85,"column":30},"end":{"line":85,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2814¿Literal¿string¿3888¿¿'://'¿¿{"start":{"line":85,"column":38},"end":{"line":85,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2815¿VariableDeclarator¿¿3888¿v309¿¿¿{"start":{"line":85,"column":49},"end":{"line":85,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2816¿UnaryExpression¿-¿3888¿¿¿¿{"start":{"line":85,"column":49},"end":{"line":85,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿UnaryExpression
2817¿Literal¿number¿3888¿¿1¿¿{"start":{"line":85,"column":50},"end":{"line":85,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Literal
2818¿VariableDeclarator¿¿3888¿v310¿¿¿{"start":{"line":85,"column":23},"end":{"line":85,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2819¿BinaryExpression¿===¿3888¿¿¿¿{"start":{"line":85,"column":23},"end":{"line":85,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿BinaryExpression
2820¿Identifier¿¿3888¿v308¿¿¿¿¿Identifier
2821¿Identifier¿¿3888¿v309¿¿¿¿¿Identifier
2822¿VariableDeclarator¿¿3888¿v311¿¿¿{"start":{"line":84,"column":27},"end":{"line":85,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2823¿LogicalExpression¿&&¿3888¿¿¿¿{"start":{"line":84,"column":27},"end":{"line":85,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿LogicalExpression
2824¿Identifier¿¿3888¿v306¿¿¿¿¿Identifier
2825¿Identifier¿¿3888¿v310¿¿¿¿¿Identifier
2826¿VariableDeclarator¿¿3888¿v312¿¿¿{"start":{"line":86,"column":23},"end":{"line":86,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2827¿MemberExpression¿¿3888¿¿¿¿{"start":{"line":86,"column":23},"end":{"line":86,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2828¿Identifier¿¿3888¿i¿¿¿{"start":{"line":86,"column":23},"end":{"line":86,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2829¿Identifier¿¿3888¿name¿¿¿{"start":{"line":86,"column":25},"end":{"line":86,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2830¿VariableDeclarator¿¿3888¿v313¿¿¿{"start":{"line":86,"column":23},"end":{"line":86,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2831¿CallExpression¿¿3888¿¿¿¿{"start":{"line":86,"column":23},"end":{"line":86,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿CallExpression
2832¿MemberExpression¿¿3888¿¿¿¿{"start":{"line":86,"column":23},"end":{"line":86,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2833¿Identifier¿¿3888¿v312¿¿¿¿¿Identifier
2834¿Identifier¿¿3888¿toUpperCase¿¿¿{"start":{"line":86,"column":30},"end":{"line":86,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2835¿VariableDeclarator¿¿3888¿v314¿¿¿{"start":{"line":86,"column":48},"end":{"line":86,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2836¿MemberExpression¿¿3888¿¿¿¿{"start":{"line":86,"column":48},"end":{"line":86,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2837¿Identifier¿¿3888¿i¿¿¿{"start":{"line":86,"column":48},"end":{"line":86,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2838¿Identifier¿¿3888¿name¿¿¿{"start":{"line":86,"column":50},"end":{"line":86,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2839¿VariableDeclarator¿¿3888¿v315¿¿¿{"start":{"line":86,"column":23},"end":{"line":86,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2840¿BinaryExpression¿!==¿3888¿¿¿¿{"start":{"line":86,"column":23},"end":{"line":86,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿BinaryExpression
2841¿Identifier¿¿3888¿v313¿¿¿¿¿Identifier
2842¿Identifier¿¿3888¿v314¿¿¿¿¿Identifier
2843¿VariableDeclarator¿¿3888¿v316¿¿¿{"start":{"line":84,"column":27},"end":{"line":86,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2844¿LogicalExpression¿&&¿3888¿¿¿¿{"start":{"line":84,"column":27},"end":{"line":86,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿LogicalExpression
2845¿Identifier¿¿3888¿v311¿¿¿¿¿Identifier
2846¿Identifier¿¿3888¿v315¿¿¿¿¿Identifier
2847¿ReturnStatement¿¿3888¿¿¿¿{"start":{"line":84,"column":20},"end":{"line":86,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿ReturnStatement
2848¿Identifier¿¿3888¿v316¿¿¿¿¿Identifier
2849¿BlockStatement¿¿3888¿¿¿¿{"start":{"line":83,"column":37},"end":{"line":87,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿BlockStatement
2850¿VariableDeclarator¿¿3882¿matches¿¿¿{"start":{"line":73,"column":20},"end":{"line":87,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿VariableDeclarator
2851¿CallExpression¿¿3882¿¿¿¿{"start":{"line":73,"column":30},"end":{"line":87,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿CallExpression
2852¿MemberExpression¿¿3882¿¿¿¿{"start":{"line":73,"column":30},"end":{"line":83,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿MemberExpression
2853¿Identifier¿¿3882¿v300¿¿¿¿¿Identifier
2854¿Identifier¿¿3882¿filter¿¿¿{"start":{"line":83,"column":19},"end":{"line":83,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿Identifier
2855¿Identifier¿¿3882¿v317¿¿¿¿¿Identifier
2856¿ReturnStatement¿¿3882¿¿¿¿{"start":{"line":88,"column":16},"end":{"line":88,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/ascii-art/ascii-art.js"}¿¿ReturnStatement
