Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1052¿Program¿¿-1¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":97,"column":82},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Program
1175¿VariableDeclarator¿¿1823¿v126¿¿¿{"start":{"line":21,"column":0},"end":{"line":21,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1176¿CallExpression¿¿1823¿¿¿¿{"start":{"line":21,"column":0},"end":{"line":21,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿CallExpression
1177¿MemberExpression¿¿1823¿¿¿¿{"start":{"line":21,"column":0},"end":{"line":21,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿MemberExpression
1178¿Identifier¿¿1823¿app¿¿¿{"start":{"line":21,"column":0},"end":{"line":21,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1179¿Identifier¿¿1823¿get¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1180¿Literal¿string¿1823¿¿'/health'¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Literal
1181¿Identifier¿¿1823¿v125¿¿¿¿¿Identifier
1182¿ExpressionStatement¿¿1823¿¿¿¿{"start":{"line":21,"column":0},"end":{"line":21,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿ExpressionStatement
1183¿Identifier¿¿1823¿v126¿¿¿¿¿Identifier
1184¿VariableDeclarator¿¿1823¿v150¿¿¿{"start":{"line":24,"column":19},"end":{"line":43,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1185¿ArrowFunctionExpression¿¿1823¿¿¿¿{"start":{"line":24,"column":19},"end":{"line":43,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿ArrowFunctionExpression
1186¿Identifier¿¿0¿req¿¿¿{"start":{"line":24,"column":20},"end":{"line":24,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1187¿Identifier¿¿0¿res¿¿¿{"start":{"line":24,"column":25},"end":{"line":24,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1188¿VariableDeclarator¿¿1829¿v127¿¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1189¿MemberExpression¿¿1829¿¿¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿MemberExpression
1190¿Identifier¿¿1829¿req¿¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1191¿Identifier¿¿1829¿query¿¿¿{"start":{"line":25,"column":18},"end":{"line":25,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1192¿VariableDeclarator¿¿1829¿v128¿¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1193¿MemberExpression¿¿1829¿¿¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿MemberExpression
1194¿Identifier¿¿1829¿v127¿¿¿¿¿Identifier
1195¿Identifier¿¿1829¿dir¿¿¿{"start":{"line":25,"column":24},"end":{"line":25,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1196¿VariableDeclarator¿¿1829¿dir¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1197¿LogicalExpression¿||¿1829¿¿¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿LogicalExpression
1198¿Identifier¿¿1829¿v128¿¿¿¿¿Identifier
1199¿Literal¿string¿1829¿¿'/'¿¿{"start":{"line":25,"column":31},"end":{"line":25,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Literal
1200¿VariableDeclarator¿¿1829¿normalized¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1201¿CallExpression¿¿1829¿¿¿¿{"start":{"line":26,"column":21},"end":{"line":26,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿CallExpression
1202¿MemberExpression¿¿1829¿¿¿¿{"start":{"line":26,"column":21},"end":{"line":26,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿MemberExpression
1203¿Identifier¿¿1829¿path¿¿¿{"start":{"line":26,"column":21},"end":{"line":26,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1204¿Identifier¿¿1829¿normalize¿¿¿{"start":{"line":26,"column":26},"end":{"line":26,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1205¿Identifier¿¿1829¿dir¿¿¿{"start":{"line":26,"column":36},"end":{"line":26,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1206¿VariableDeclarator¿¿1829¿target¿¿¿{"start":{"line":27,"column":8},"end":{"line":27,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1207¿CallExpression¿¿1829¿¿¿¿{"start":{"line":27,"column":17},"end":{"line":27,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿CallExpression
1208¿MemberExpression¿¿1829¿¿¿¿{"start":{"line":27,"column":17},"end":{"line":27,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿MemberExpression
1209¿Identifier¿¿1829¿path¿¿¿{"start":{"line":27,"column":17},"end":{"line":27,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1210¿Identifier¿¿1829¿join¿¿¿{"start":{"line":27,"column":22},"end":{"line":27,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1211¿Identifier¿¿1829¿ROOT¿¿¿{"start":{"line":27,"column":27},"end":{"line":27,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1212¿Identifier¿¿1829¿normalized¿¿¿{"start":{"line":27,"column":33},"end":{"line":27,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1213¿VariableDeclarator¿¿1829¿v129¿¿¿{"start":{"line":30,"column":7},"end":{"line":30,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1214¿CallExpression¿¿1829¿¿¿¿{"start":{"line":30,"column":7},"end":{"line":30,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿CallExpression
1215¿MemberExpression¿¿1829¿¿¿¿{"start":{"line":30,"column":7},"end":{"line":30,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿MemberExpression
1216¿Identifier¿¿1829¿target¿¿¿{"start":{"line":30,"column":7},"end":{"line":30,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1217¿Identifier¿¿1829¿startsWith¿¿¿{"start":{"line":30,"column":14},"end":{"line":30,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1218¿Identifier¿¿1829¿ROOT¿¿¿{"start":{"line":30,"column":25},"end":{"line":30,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1219¿VariableDeclarator¿¿1829¿v130¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1220¿UnaryExpression¿!¿1829¿¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿UnaryExpression
1221¿Identifier¿¿1829¿v129¿¿¿¿¿Identifier
1222¿IfStatement¿¿1829¿¿¿¿{"start":{"line":30,"column":2},"end":{"line":32,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿IfStatement
1223¿Identifier¿¿1829¿v130¿¿¿¿¿Identifier
1224¿VariableDeclarator¿¿1829¿v131¿¿¿{"start":{"line":31,"column":11},"end":{"line":31,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1225¿CallExpression¿¿1829¿¿¿¿{"start":{"line":31,"column":11},"end":{"line":31,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿CallExpression
1226¿MemberExpression¿¿1829¿¿¿¿{"start":{"line":31,"column":11},"end":{"line":31,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿MemberExpression
1227¿Identifier¿¿1829¿res¿¿¿{"start":{"line":31,"column":11},"end":{"line":31,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1228¿Identifier¿¿1829¿status¿¿¿{"start":{"line":31,"column":15},"end":{"line":31,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1229¿Literal¿number¿1829¿¿400¿¿{"start":{"line":31,"column":22},"end":{"line":31,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Literal
1230¿VariableDeclarator¿¿1829¿v132¿¿¿{"start":{"line":31,"column":32},"end":{"line":31,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1231¿ObjectExpression¿¿1829¿¿¿¿{"start":{"line":31,"column":32},"end":{"line":31,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿ObjectExpression
1232¿Property¿¿1829¿¿¿¿{"start":{"line":31,"column":34},"end":{"line":31,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Property
1233¿Identifier¿¿1829¿error¿¿¿{"start":{"line":31,"column":34},"end":{"line":31,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1234¿Literal¿string¿1829¿¿'Invalid path'¿¿{"start":{"line":31,"column":41},"end":{"line":31,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Literal
1235¿VariableDeclarator¿¿1829¿v133¿¿¿{"start":{"line":31,"column":11},"end":{"line":31,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1236¿CallExpression¿¿1829¿¿¿¿{"start":{"line":31,"column":11},"end":{"line":31,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿CallExpression
1237¿MemberExpression¿¿1829¿¿¿¿{"start":{"line":31,"column":11},"end":{"line":31,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿MemberExpression
1238¿Identifier¿¿1829¿v131¿¿¿¿¿Identifier
1239¿Identifier¿¿1829¿json¿¿¿{"start":{"line":31,"column":27},"end":{"line":31,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1240¿Identifier¿¿1829¿v132¿¿¿¿¿Identifier
1241¿ReturnStatement¿¿1829¿¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿ReturnStatement
1242¿Identifier¿¿1829¿v133¿¿¿¿¿Identifier
1243¿BlockStatement¿¿1829¿¿¿¿{"start":{"line":30,"column":32},"end":{"line":32,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿BlockStatement
1244¿VariableDeclarator¿¿1829¿v134¿¿¿{"start":{"line":34,"column":21},"end":{"line":34,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1245¿ObjectExpression¿¿1829¿¿¿¿{"start":{"line":34,"column":21},"end":{"line":34,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿ObjectExpression
1246¿Property¿¿1829¿¿¿¿{"start":{"line":34,"column":23},"end":{"line":34,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Property
1247¿Identifier¿¿1829¿withFileTypes¿¿¿{"start":{"line":34,"column":23},"end":{"line":34,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1248¿Literal¿boolean¿1829¿¿true¿¿{"start":{"line":34,"column":38},"end":{"line":34,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Literal
1249¿VariableDeclarator¿¿1829¿v148¿¿¿{"start":{"line":34,"column":46},"end":{"line":42,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1250¿ArrowFunctionExpression¿¿1829¿¿¿¿{"start":{"line":34,"column":46},"end":{"line":42,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿ArrowFunctionExpression
1251¿Identifier¿¿0¿err¿¿¿{"start":{"line":34,"column":47},"end":{"line":34,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1252¿Identifier¿¿0¿entries¿¿¿{"start":{"line":34,"column":52},"end":{"line":34,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1253¿IfStatement¿¿1832¿¿¿¿{"start":{"line":35,"column":4},"end":{"line":35,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿IfStatement
1254¿Identifier¿¿1832¿err¿¿¿{"start":{"line":35,"column":8},"end":{"line":35,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1255¿VariableDeclarator¿¿1832¿v135¿¿¿{"start":{"line":35,"column":20},"end":{"line":35,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1256¿CallExpression¿¿1832¿¿¿¿{"start":{"line":35,"column":20},"end":{"line":35,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿CallExpression
1257¿MemberExpression¿¿1832¿¿¿¿{"start":{"line":35,"column":20},"end":{"line":35,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿MemberExpression
1258¿Identifier¿¿1832¿res¿¿¿{"start":{"line":35,"column":20},"end":{"line":35,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1259¿Identifier¿¿1832¿status¿¿¿{"start":{"line":35,"column":24},"end":{"line":35,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1260¿Literal¿number¿1832¿¿404¿¿{"start":{"line":35,"column":31},"end":{"line":35,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Literal
1261¿VariableDeclarator¿¿1832¿v136¿¿¿{"start":{"line":35,"column":41},"end":{"line":35,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1262¿ObjectExpression¿¿1832¿¿¿¿{"start":{"line":35,"column":41},"end":{"line":35,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿ObjectExpression
1263¿Property¿¿1832¿¿¿¿{"start":{"line":35,"column":43},"end":{"line":35,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Property
1264¿Identifier¿¿1832¿error¿¿¿{"start":{"line":35,"column":43},"end":{"line":35,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1265¿Literal¿string¿1832¿¿'Not found'¿¿{"start":{"line":35,"column":50},"end":{"line":35,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Literal
1266¿VariableDeclarator¿¿1832¿v137¿¿¿{"start":{"line":35,"column":20},"end":{"line":35,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1267¿CallExpression¿¿1832¿¿¿¿{"start":{"line":35,"column":20},"end":{"line":35,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿CallExpression
1268¿MemberExpression¿¿1832¿¿¿¿{"start":{"line":35,"column":20},"end":{"line":35,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿MemberExpression
1269¿Identifier¿¿1832¿v135¿¿¿¿¿Identifier
1270¿Identifier¿¿1832¿json¿¿¿{"start":{"line":35,"column":36},"end":{"line":35,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1271¿Identifier¿¿1832¿v136¿¿¿¿¿Identifier
1272¿ReturnStatement¿¿1832¿¿¿¿{"start":{"line":35,"column":13},"end":{"line":35,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿ReturnStatement
1273¿Identifier¿¿1832¿v137¿¿¿¿¿Identifier
1274¿BlockStatement¿¿1832¿¿¿¿¿¿BlockStatement
1275¿VariableDeclarator¿¿1832¿v145¿¿¿{"start":{"line":36,"column":29},"end":{"line":40,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1276¿ArrowFunctionExpression¿¿1832¿¿¿¿{"start":{"line":36,"column":29},"end":{"line":40,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿ArrowFunctionExpression
1277¿Identifier¿¿0¿e¿¿¿{"start":{"line":36,"column":29},"end":{"line":36,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1278¿VariableDeclarator¿¿1835¿v138¿¿¿{"start":{"line":37,"column":12},"end":{"line":37,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1279¿MemberExpression¿¿1835¿¿¿¿{"start":{"line":37,"column":12},"end":{"line":37,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿MemberExpression
1280¿Identifier¿¿1835¿e¿¿¿{"start":{"line":37,"column":12},"end":{"line":37,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1281¿Identifier¿¿1835¿name¿¿¿{"start":{"line":37,"column":14},"end":{"line":37,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1282¿VariableDeclarator¿¿1835¿v139¿¿¿{"start":{"line":38,"column":12},"end":{"line":38,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1283¿CallExpression¿¿1835¿¿¿¿{"start":{"line":38,"column":12},"end":{"line":38,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿CallExpression
1284¿MemberExpression¿¿1835¿¿¿¿{"start":{"line":38,"column":12},"end":{"line":38,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿MemberExpression
1285¿Identifier¿¿1835¿e¿¿¿{"start":{"line":38,"column":12},"end":{"line":38,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1286¿Identifier¿¿1835¿isDirectory¿¿¿{"start":{"line":38,"column":14},"end":{"line":38,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Identifier
1287¿VariableDeclarator¿¿1835¿v140¿¿¿{"start":{"line":38,"column":12},"end":{"line":38,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿VariableDeclarator
1288¿IfStatement¿¿1835¿¿¿¿{"start":{"line":38,"column":12},"end":{"line":38,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿IfStatement
1289¿Identifier¿¿1835¿v139¿¿¿¿¿Identifier
1290¿ExpressionStatement¿¿1835¿¿¿¿{"start":{"line":38,"column":12},"end":{"line":38,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿ExpressionStatement
1291¿AssignmentExpression¿=¿1835¿¿¿¿{"start":{"line":38,"column":12},"end":{"line":38,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿AssignmentExpression
1292¿Identifier¿¿1835¿v140¿¿¿¿¿Identifier
1293¿Literal¿string¿1835¿¿'dir'¿¿{"start":{"line":38,"column":30},"end":{"line":38,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿Literal
1294¿BlockStatement¿¿1835¿¿¿¿¿¿BlockStatement
1295¿ExpressionStatement¿¿1835¿¿¿¿{"start":{"line":38,"column":12},"end":{"line":38,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-dochub-express.js"}¿¿ExpressionStatement
