Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
4329¿Program¿¿-1¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":1142,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Program
5437¿Literal¿object¿7640¿¿/\u2028/g¿¿{"start":{"line":327,"column":15},"end":{"line":327,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
5438¿Literal¿string¿7640¿¿'\\u2028'¿¿{"start":{"line":327,"column":26},"end":{"line":327,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
5439¿ExpressionStatement¿¿7640¿¿¿¿{"start":{"line":326,"column":4},"end":{"line":328,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿ExpressionStatement
5440¿AssignmentExpression¿=¿7640¿¿¿¿{"start":{"line":326,"column":4},"end":{"line":328,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿AssignmentExpression
5441¿Identifier¿¿7640¿body¿¿¿{"start":{"line":326,"column":4},"end":{"line":326,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5442¿CallExpression¿¿7640¿¿¿¿{"start":{"line":326,"column":11},"end":{"line":328,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
5443¿MemberExpression¿¿7640¿¿¿¿{"start":{"line":326,"column":11},"end":{"line":328,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿MemberExpression
5444¿Identifier¿¿7640¿v489¿¿¿¿¿Identifier
5445¿Identifier¿¿7640¿replace¿¿¿{"start":{"line":328,"column":7},"end":{"line":328,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5446¿Literal¿object¿7640¿¿/\u2029/g¿¿{"start":{"line":328,"column":15},"end":{"line":328,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
5447¿Literal¿string¿7640¿¿'\\u2029'¿¿{"start":{"line":328,"column":26},"end":{"line":328,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
5448¿VariableDeclarator¿¿7640¿v490¿¿¿{"start":{"line":332,"column":11},"end":{"line":332,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
5449¿BinaryExpression¿+¿7640¿¿¿¿{"start":{"line":332,"column":11},"end":{"line":332,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿BinaryExpression
5450¿Literal¿string¿7640¿¿'/**/ typeof '¿¿{"start":{"line":332,"column":11},"end":{"line":332,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
5451¿Identifier¿¿7640¿callback¿¿¿{"start":{"line":332,"column":28},"end":{"line":332,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5452¿VariableDeclarator¿¿7640¿v491¿¿¿{"start":{"line":332,"column":11},"end":{"line":332,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
5453¿BinaryExpression¿+¿7640¿¿¿¿{"start":{"line":332,"column":11},"end":{"line":332,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿BinaryExpression
5454¿Identifier¿¿7640¿v490¿¿¿¿¿Identifier
5455¿Literal¿string¿7640¿¿' === \'function\' && '¿¿{"start":{"line":332,"column":39},"end":{"line":332,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
5456¿VariableDeclarator¿¿7640¿v492¿¿¿{"start":{"line":332,"column":11},"end":{"line":332,"column":73},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
5457¿BinaryExpression¿+¿7640¿¿¿¿{"start":{"line":332,"column":11},"end":{"line":332,"column":73},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿BinaryExpression
5458¿Identifier¿¿7640¿v491¿¿¿¿¿Identifier
5459¿Identifier¿¿7640¿callback¿¿¿{"start":{"line":332,"column":65},"end":{"line":332,"column":73},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5460¿VariableDeclarator¿¿7640¿v493¿¿¿{"start":{"line":332,"column":11},"end":{"line":332,"column":79},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
5461¿BinaryExpression¿+¿7640¿¿¿¿{"start":{"line":332,"column":11},"end":{"line":332,"column":79},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿BinaryExpression
5462¿Identifier¿¿7640¿v492¿¿¿¿¿Identifier
5463¿Literal¿string¿7640¿¿'('¿¿{"start":{"line":332,"column":76},"end":{"line":332,"column":79},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
5464¿VariableDeclarator¿¿7640¿v494¿¿¿{"start":{"line":332,"column":11},"end":{"line":332,"column":86},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
5465¿BinaryExpression¿+¿7640¿¿¿¿{"start":{"line":332,"column":11},"end":{"line":332,"column":86},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿BinaryExpression
5466¿Identifier¿¿7640¿v493¿¿¿¿¿Identifier
5467¿Identifier¿¿7640¿body¿¿¿{"start":{"line":332,"column":82},"end":{"line":332,"column":86},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5468¿ExpressionStatement¿¿7640¿¿¿¿{"start":{"line":332,"column":4},"end":{"line":332,"column":94},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿ExpressionStatement
5469¿AssignmentExpression¿=¿7640¿¿¿¿{"start":{"line":332,"column":4},"end":{"line":332,"column":93},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿AssignmentExpression
5470¿Identifier¿¿7640¿body¿¿¿{"start":{"line":332,"column":4},"end":{"line":332,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5471¿BinaryExpression¿+¿7640¿¿¿¿{"start":{"line":332,"column":11},"end":{"line":332,"column":93},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿BinaryExpression
5472¿Identifier¿¿7640¿v494¿¿¿¿¿Identifier
5473¿Literal¿string¿7640¿¿');'¿¿{"start":{"line":332,"column":89},"end":{"line":332,"column":93},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
5474¿BlockStatement¿¿7640¿¿¿¿{"start":{"line":318,"column":61},"end":{"line":333,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿BlockStatement
5475¿VariableDeclarator¿¿7640¿v495¿¿¿{"start":{"line":335,"column":9},"end":{"line":335,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
5476¿CallExpression¿¿7640¿¿¿¿{"start":{"line":335,"column":9},"end":{"line":335,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
5477¿MemberExpression¿¿7640¿¿¿¿{"start":{"line":335,"column":9},"end":{"line":335,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿MemberExpression
5478¿ThisExpression¿¿7640¿¿¿¿{"start":{"line":335,"column":9},"end":{"line":335,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿ThisExpression
5479¿Identifier¿¿7640¿send¿¿¿{"start":{"line":335,"column":14},"end":{"line":335,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5480¿Identifier¿¿7640¿body¿¿¿{"start":{"line":335,"column":19},"end":{"line":335,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5481¿ReturnStatement¿¿7640¿¿¿¿{"start":{"line":335,"column":2},"end":{"line":335,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿ReturnStatement
5482¿Identifier¿¿7640¿v495¿¿¿¿¿Identifier
5483¿BlockStatement¿¿7640¿¿¿¿{"start":{"line":282,"column":32},"end":{"line":336,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿BlockStatement
5484¿ExpressionStatement¿¿7601¿¿¿¿{"start":{"line":282,"column":0},"end":{"line":336,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿ExpressionStatement
5485¿AssignmentExpression¿=¿7601¿¿¿¿{"start":{"line":282,"column":0},"end":{"line":336,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿AssignmentExpression
5486¿MemberExpression¿¿7601¿¿¿¿{"start":{"line":282,"column":0},"end":{"line":282,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿MemberExpression
5487¿Identifier¿¿7601¿res¿¿¿{"start":{"line":282,"column":0},"end":{"line":282,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5488¿Identifier¿¿7601¿jsonp¿¿¿{"start":{"line":282,"column":4},"end":{"line":282,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5489¿Identifier¿¿7601¿jsonp¿¿¿¿¿Identifier
5490¿VariableDeclarator¿¿7601¿sendStatus¿¿¿{"start":{"line":353,"column":0},"end":{"line":360,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
5491¿FunctionExpression¿¿7601¿anon¿¿¿{"start":{"line":353,"column":17},"end":{"line":360,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿FunctionExpression
5492¿Identifier¿¿0¿statusCode¿¿¿{"start":{"line":353,"column":37},"end":{"line":353,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5493¿VariableDeclarator¿¿7647¿v496¿¿¿{"start":{"line":354,"column":13},"end":{"line":354,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
5494¿MemberExpression¿computed¿7647¿¿¿¿{"start":{"line":354,"column":13},"end":{"line":354,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿MemberExpression
5495¿Identifier¿¿7647¿statuses¿¿¿{"start":{"line":354,"column":13},"end":{"line":354,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5496¿Identifier¿¿7647¿statusCode¿¿¿{"start":{"line":354,"column":22},"end":{"line":354,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5497¿VariableDeclarator¿¿7647¿v497¿¿¿{"start":{"line":354,"column":37},"end":{"line":354,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
5498¿CallExpression¿¿7647¿¿¿¿{"start":{"line":354,"column":37},"end":{"line":354,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
5499¿Identifier¿¿7647¿String¿¿¿{"start":{"line":354,"column":37},"end":{"line":354,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5500¿Identifier¿¿7647¿statusCode¿¿¿{"start":{"line":354,"column":44},"end":{"line":354,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5501¿VariableDeclarator¿¿7647¿body¿¿¿{"start":{"line":354,"column":6},"end":{"line":354,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
5502¿LogicalExpression¿||¿7647¿¿¿¿{"start":{"line":354,"column":13},"end":{"line":354,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿LogicalExpression
5503¿Identifier¿¿7647¿v496¿¿¿¿¿Identifier
5504¿Identifier¿¿7647¿v497¿¿¿¿¿Identifier
5505¿ExpressionStatement¿¿7647¿¿¿¿{"start":{"line":356,"column":2},"end":{"line":356,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿ExpressionStatement
5506¿AssignmentExpression¿=¿7647¿¿¿¿{"start":{"line":356,"column":2},"end":{"line":356,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿AssignmentExpression
5507¿MemberExpression¿¿7647¿¿¿¿{"start":{"line":356,"column":2},"end":{"line":356,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿MemberExpression
5508¿ThisExpression¿¿7647¿¿¿¿{"start":{"line":356,"column":2},"end":{"line":356,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿ThisExpression
5509¿Identifier¿¿7647¿statusCode¿¿¿{"start":{"line":356,"column":7},"end":{"line":356,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5510¿Identifier¿¿7647¿statusCode¿¿¿{"start":{"line":356,"column":20},"end":{"line":356,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5511¿VariableDeclarator¿¿7647¿v498¿¿¿{"start":{"line":357,"column":2},"end":{"line":357,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
5512¿CallExpression¿¿7647¿¿¿¿{"start":{"line":357,"column":2},"end":{"line":357,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
5513¿MemberExpression¿¿7647¿¿¿¿{"start":{"line":357,"column":2},"end":{"line":357,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿MemberExpression
5514¿ThisExpression¿¿7647¿¿¿¿{"start":{"line":357,"column":2},"end":{"line":357,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿ThisExpression
5515¿Identifier¿¿7647¿type¿¿¿{"start":{"line":357,"column":7},"end":{"line":357,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5516¿Literal¿string¿7647¿¿'txt'¿¿{"start":{"line":357,"column":12},"end":{"line":357,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
5517¿ExpressionStatement¿¿7647¿¿¿¿{"start":{"line":357,"column":2},"end":{"line":357,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿ExpressionStatement
5518¿Identifier¿¿7647¿v498¿¿¿¿¿Identifier
5519¿VariableDeclarator¿¿7647¿v499¿¿¿{"start":{"line":359,"column":9},"end":{"line":359,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
5520¿CallExpression¿¿7647¿¿¿¿{"start":{"line":359,"column":9},"end":{"line":359,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
5521¿MemberExpression¿¿7647¿¿¿¿{"start":{"line":359,"column":9},"end":{"line":359,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿MemberExpression
5522¿ThisExpression¿¿7647¿¿¿¿{"start":{"line":359,"column":9},"end":{"line":359,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿ThisExpression
5523¿Identifier¿¿7647¿send¿¿¿{"start":{"line":359,"column":14},"end":{"line":359,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5524¿Identifier¿¿7647¿body¿¿¿{"start":{"line":359,"column":19},"end":{"line":359,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5525¿ReturnStatement¿¿7647¿¿¿¿{"start":{"line":359,"column":2},"end":{"line":359,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿ReturnStatement
5526¿Identifier¿¿7647¿v499¿¿¿¿¿Identifier
5527¿BlockStatement¿¿7647¿¿¿¿{"start":{"line":353,"column":49},"end":{"line":360,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿BlockStatement
5528¿ExpressionStatement¿¿7601¿¿¿¿{"start":{"line":353,"column":0},"end":{"line":360,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿ExpressionStatement
5529¿AssignmentExpression¿=¿7601¿¿¿¿{"start":{"line":353,"column":0},"end":{"line":360,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿AssignmentExpression
5530¿MemberExpression¿¿7601¿¿¿¿{"start":{"line":353,"column":0},"end":{"line":353,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿MemberExpression
5531¿Identifier¿¿7601¿res¿¿¿{"start":{"line":353,"column":0},"end":{"line":353,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5532¿Identifier¿¿7601¿sendStatus¿¿¿{"start":{"line":353,"column":4},"end":{"line":353,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5533¿Identifier¿¿7601¿sendStatus¿¿¿¿¿Identifier
5534¿VariableDeclarator¿¿7601¿sendFile¿¿¿{"start":{"line":403,"column":0},"end":{"line":442,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
5535¿FunctionExpression¿¿7601¿anon¿¿¿{"start":{"line":403,"column":15},"end":{"line":442,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿FunctionExpression
5536¿Identifier¿¿0¿path¿¿¿{"start":{"line":403,"column":33},"end":{"line":403,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5537¿Identifier¿¿0¿options¿¿¿{"start":{"line":403,"column":39},"end":{"line":403,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5538¿Identifier¿¿0¿callback¿¿¿{"start":{"line":403,"column":48},"end":{"line":403,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5539¿VariableDeclarator¿¿7649¿done¿¿¿{"start":{"line":404,"column":6},"end":{"line":404,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
5540¿Identifier¿¿7649¿callback¿¿¿{"start":{"line":404,"column":13},"end":{"line":404,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5541¿VariableDeclarator¿¿7649¿req¿¿¿{"start":{"line":405,"column":6},"end":{"line":405,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
5542¿MemberExpression¿¿7649¿¿¿¿{"start":{"line":405,"column":12},"end":{"line":405,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿MemberExpression
5543¿ThisExpression¿¿7649¿¿¿¿{"start":{"line":405,"column":12},"end":{"line":405,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿ThisExpression
5544¿Identifier¿¿7649¿req¿¿¿{"start":{"line":405,"column":17},"end":{"line":405,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5545¿VariableDeclarator¿¿7649¿res¿¿¿{"start":{"line":406,"column":6},"end":{"line":406,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
5546¿ThisExpression¿¿7649¿¿¿¿{"start":{"line":406,"column":12},"end":{"line":406,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿ThisExpression
5547¿VariableDeclarator¿¿7649¿next¿¿¿{"start":{"line":407,"column":6},"end":{"line":407,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
5548¿MemberExpression¿¿7649¿¿¿¿{"start":{"line":407,"column":13},"end":{"line":407,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿MemberExpression
5549¿Identifier¿¿7649¿req¿¿¿{"start":{"line":407,"column":13},"end":{"line":407,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5550¿Identifier¿¿7649¿next¿¿¿{"start":{"line":407,"column":17},"end":{"line":407,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5551¿VariableDeclarator¿¿7649¿v500¿¿¿{"start":{"line":408,"column":24},"end":{"line":408,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
5552¿ObjectExpression¿¿7649¿¿¿¿{"start":{"line":408,"column":24},"end":{"line":408,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿ObjectExpression
5553¿VariableDeclarator¿¿7649¿opts¿¿¿{"start":{"line":408,"column":6},"end":{"line":408,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
5554¿LogicalExpression¿||¿7649¿¿¿¿{"start":{"line":408,"column":13},"end":{"line":408,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿LogicalExpression
5555¿Identifier¿¿7649¿options¿¿¿{"start":{"line":408,"column":13},"end":{"line":408,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5556¿Identifier¿¿7649¿v500¿¿¿¿¿Identifier
5557¿VariableDeclarator¿¿7649¿v501¿¿¿{"start":{"line":410,"column":6},"end":{"line":410,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
5558¿UnaryExpression¿!¿7649¿¿¿¿{"start":{"line":410,"column":6},"end":{"line":410,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿UnaryExpression
5559¿Identifier¿¿7649¿path¿¿¿{"start":{"line":410,"column":7},"end":{"line":410,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5560¿IfStatement¿¿7649¿¿¿¿{"start":{"line":410,"column":2},"end":{"line":412,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿IfStatement
5561¿Identifier¿¿7649¿v501¿¿¿¿¿Identifier
5562¿VariableDeclarator¿¿7649¿v502¿¿¿{"start":{"line":411,"column":10},"end":{"line":411,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
5563¿NewExpression¿¿7649¿¿¿¿{"start":{"line":411,"column":10},"end":{"line":411,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿NewExpression
5564¿Identifier¿¿7649¿TypeError¿¿¿{"start":{"line":411,"column":14},"end":{"line":411,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
5565¿Literal¿string¿7649¿¿'path argument is required to res.sendFile'¿¿{"start":{"line":411,"column":24},"end":{"line":411,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
5566¿ThrowStatement¿¿7649¿¿¿¿{"start":{"line":411,"column":4},"end":{"line":411,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿ThrowStatement
5567¿Identifier¿¿7649¿v502¿¿¿¿¿Identifier
5568¿BlockStatement¿¿7649¿¿¿¿{"start":{"line":410,"column":13},"end":{"line":412,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿BlockStatement
